city;area;population
Ochtrup, Stadt;105.63;19077
Rhede, Stadt;78.9;19052
Prenzlau, Stadt;142.23;19045
Vlotho, Stadt;76.93;19035
Gerlingen, Stadt;17.01;19034
Schifferstadt, Stadt;28.05;19011
Bad Pyrmont, Stadt;61.96;19008
Giengen an der Brenz, Stadt;44.07;18997
Bückeburg, Stadt;68.84;18977
Alzenau, St;59.32;18952
Waldbröl, Stadt;63.32;18947
Bergneustadt, Stadt;37.89;18897
Telgte, Stadt;90.84;18879
Wildeshausen, Stadt;89.49;18866
Püttlingen, Stadt;23.93;18848
Schopfheim, Stadt;67.98;18829
Torgau, Stadt;90.35;18793
Traunstein, GKSt;48.55;18785
Schneverdingen, Stadt;234.59;18696
Hechingen, Stadt;66.44;18674
Mayen, Stadt;58.12;18625
Bremervörde, Stadt;150.18;18615
Leinefelde-Worbis, Stadt;96.57;18544
Großenhain, Stadt;130.22;18537
Korntal-Münchingen, Stadt;20.71;18466
Mölln, Stadt;25.05;18458
Schenefeld, Stadt;9.99;18448
Hemmingen, Stadt;31.58;18445
Bad Driburg, Stadt;115.3;18431
Langen, Stadt;121.99;18395
Haldensleben, Stadt;137.71;18361
Weil der Stadt, Stadt;43.14;18356
Sarstedt, Stadt;42.94;18353
Werdohl, Stadt;33.38;18310
Müllheim, Stadt;57.92;18286
Bad Friedrichshall, Stadt;24.7;18274
Donauwörth, GKSt;77.04;18269
Hessisch Oldendorf, Stadt;120.31;18267
Wittlich, Stadt;49.64;18255
Heusenstamm, Stadt;19.03;18232
Bad Dürkheim, Stadt;102.67;18222
Tettnang, Stadt;71.22;18216
Schwalmstadt, Stadt;84.74;18195
Thale, Stadt;137.65;18131
Vellmar, Stadt;13.97;18131
