log10.xvals,log10.ccdf,
726,1.8609366207,-Inf
727,1.8615344109,-Inf
728,1.8621313793,-Inf
729,1.8627275283,-Inf
730,1.8633228601,-Inf
731,1.863917377,-Inf
732,1.8645110811,-Inf
733,1.8651039746,-Inf
734,1.8656960599,-Inf
735,1.8662873391,-Inf
736,1.8668778143,-Inf
737,1.8674674879,-Inf
738,1.8680563618,-Inf
739,1.8686444384,-Inf
740,1.8692317197,-Inf
741,1.869818208,-Inf
742,1.8704039053,-Inf
743,1.8709888138,-Inf
744,1.8715729355,-Inf
745,1.8721562727,-Inf
746,1.8727388275,-Inf
747,1.8733206018,-Inf
748,1.8739015979,-Inf
749,1.8744818177,-Inf
750,1.8750612634,-Inf
751,1.875639937,-Inf
752,1.8762178406,-Inf
753,1.8767949762,-Inf
754,1.8773713459,-Inf
755,1.8779469516,-Inf
756,1.8785217955,-Inf
757,1.8790958795,-Inf
758,1.8796692056,-Inf
759,1.8802417759,-Inf
760,1.8808135923,-Inf
761,1.8813846568,-Inf
762,1.8819549713,-Inf
763,1.882524538,-Inf
764,1.8830933586,-Inf
765,1.8836614352,-Inf
766,1.8842287696,-Inf
767,1.8847953639,-Inf
768,1.88536122,-Inf
769,1.8859263398,-Inf
770,1.8864907252,-Inf
771,1.8870543781,-Inf
772,1.8876173003,-Inf
773,1.8881794939,-Inf
774,1.8887409607,-Inf
775,1.8893017025,-Inf
776,1.8898617213,-Inf
777,1.8904210188,-Inf
778,1.890979597,-Inf
779,1.8915374577,-Inf
780,1.8920946027,-Inf
781,1.8926510339,-Inf
782,1.8932067531,-Inf
783,1.8937617621,-Inf
784,1.8943160627,-Inf
785,1.8948696567,-Inf
786,1.895422546,-Inf
787,1.8959747324,-Inf
788,1.8965262175,-Inf
789,1.8970770032,-Inf
790,1.8976270913,-Inf
791,1.8981764835,-Inf
792,1.8987251816,-Inf
793,1.8992731873,-Inf
794,1.8998205024,-Inf
795,1.9003671287,-Inf
796,1.9009130677,-Inf
797,1.9014583214,-Inf
798,1.9020028914,-Inf
799,1.9025467793,-Inf
800,1.903089987,-Inf
801,1.9036325161,-Inf
802,1.9041743683,-Inf
803,1.9047155453,-Inf
804,1.9052560487,-Inf
805,1.9057958804,-Inf
806,1.9063350418,-Inf
807,1.9068735347,-Inf
808,1.9074113608,-Inf
809,1.9079485216,-Inf
810,1.9084850189,-Inf
811,1.9090208542,-Inf
812,1.9095560292,-Inf
813,1.9100905456,-Inf
814,1.9106244049,-Inf
815,1.9111576087,-Inf
816,1.9116901588,-Inf
817,1.9122220565,-Inf
818,1.9127533037,-Inf
819,1.9132839018,-Inf
820,1.9138138524,-Inf
821,1.9143431571,-Inf
822,1.9148718175,-Inf
823,1.9153998352,-Inf
824,1.9159272117,-Inf
825,1.9164539485,-Inf
826,1.9169800473,-Inf
827,1.9175055096,-Inf
828,1.9180303368,-Inf
829,1.9185545306,-Inf
830,1.9190780924,-Inf
831,1.9196010238,-Inf
832,1.9201233263,-Inf
833,1.9206450014,-Inf
834,1.9211660506,-Inf
835,1.9216864755,-Inf
836,1.9222062774,-Inf
837,1.922725458,-Inf
838,1.9232440186,-Inf
839,1.9237619608,-Inf
840,1.9242792861,-Inf
841,1.9247959958,-Inf
842,1.9253120915,-Inf
843,1.9258275746,-Inf
844,1.9263424466,-Inf
845,1.9268567089,-Inf
846,1.927370363,-Inf
847,1.9278834103,-Inf
848,1.9283958523,-Inf
849,1.9289076902,-Inf
850,1.9294189257,-Inf
851,1.9299295601,-Inf
852,1.9304395948,-Inf
853,1.9309490312,-Inf
854,1.9314578707,-Inf
855,1.9319661147,-Inf
856,1.9324737647,-Inf
857,1.9329808219,-Inf
858,1.9334872878,-Inf
859,1.9339931638,-Inf
860,1.9344984512,-Inf
861,1.9350031515,-Inf
862,1.9355072658,-Inf
863,1.9360107957,-Inf
864,1.9365137425,-Inf
865,1.9370161075,-Inf
866,1.937517892,-Inf
867,1.9380190975,-Inf
868,1.9385197252,-Inf
869,1.9390197764,-Inf
870,1.9395192526,-Inf
871,1.940018155,-Inf
872,1.9405164849,-Inf
873,1.9410142437,-Inf
874,1.9415114326,-Inf
875,1.942008053,-Inf
876,1.9425041062,-Inf
877,1.9429995934,-Inf
878,1.9434945159,-Inf
879,1.9439888751,-Inf
880,1.9444826722,-Inf
881,1.9449759084,-Inf
882,1.9454685851,-Inf
883,1.9459607036,-Inf
884,1.946452265,-Inf
885,1.9469432707,-Inf
886,1.9474337219,-Inf
887,1.9479236198,-Inf
888,1.9484129658,-Inf
889,1.948901761,-Inf
890,1.9493900066,-Inf
891,1.949877704,-Inf
892,1.9503648544,-Inf
893,1.9508514589,-Inf
894,1.9513375188,-Inf
895,1.9518230353,-Inf
896,1.9523080097,-Inf
897,1.952792443,-Inf
898,1.9532763367,-Inf
899,1.9537596917,-Inf
900,1.9542425094,-Inf
901,1.954724791,-Inf
